职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
JAVA开发工程师（实习生）,3天前,南京,面议,4天/周,0个月,焦点科技股份有限公司,软件
java软件工程师,1小时前,上海,100-150/天,3天/周,6个月,思创华信,Java
Java开发工程师Intern,1周前,北京,150-200/天,4天/周,4个月,Opera,Java
Java开发工程师（北京）,2天前,北京,100-150/天,5天/周,4个月,君合创胜,Java
Java服务器开发,1月前,北京,150-200/天,5天/周,5个月,乐天派游戏,Java
Java开发实习生,3月前,广州,150-298/天,4天/周,6个月,荔枝,Java
Java游戏服务端初级开发,5天前,广州,100-200/天,5天/周,13个月,赐麓网络,Java
Java实习生,3周前,北京,150-200/天,5天/周,10个月,彪洋科技,Java
Java/Js讲师,2天前,广州,100-150/天,3天/周,3个月,酷码教育,教师
Java研发工程师,4天前,北京,100-200/天,4天/周,13个月,中卫国投,Java
抖音后端Java开发实习生-短视频方向,4天前,上海,399-400/天,4天/周,6个月,字节跳动,Java
Java开发实习生（商业产品）,1周前,北京,300-400/天,4天/周,4个月,字节跳动,Java
Java工程师,2小时前,北京,110-190/天,4天/周,11个月,普天技术,Java
Java实习生,4小时前,上海,150-200/天,5天/周,3个月,游族网络,Java
服务端java实习生工程师,18小时前,北京,200-250/天,4天/周,4个月,滴滴出行,Java
初级java软件开发实习生,24小时前,南京,95-100/天,5天/周,3个月,普惠恒丰,软件
Java开发工程师,45小时前,深圳,1-2/天,5天/周,11个月,思特奇,Java
Java开发工程师,2天前,上海,150-200/天,3天/周,9个月,Rightraining,Java
Java开发工程师,2天前,上海,150-200/天,3天/周,7个月,LeadermaII,Java
Java中级开发工程师,3天前,广州,150-200/天,5天/周,4个月,紫光云,Java
Java高级开发工程师,3天前,广州,250-300/天,5天/周,4个月,紫光云,Java
Java实习生,3天前,北京,120-200/天,5天/周,4个月,企家有道,Java
中科院实习研发工程师,3天前,北京,80-150/天,5天/周,17个月,中国科学院网络,Java
Java开发实习生（19届）,3天前,杭州,80-150/天,4天/周,6个月,浙江外服,软件
前端实习生,3天前,深圳,150-200/天,5天/周,4个月,AICoin,Java
java初级开发工程师,3天前,合肥,80-100/天,5天/周,10个月,合肥凯捷,软件
Java开发,3天前,深圳,120-150/天,5天/周,6个月,花儿绽放,Java
政府软件开发运维实习生--深圳,3天前,深圳,100-150/天,3天/周,4个月,东软,Java
JAVA服务器开发实习生,4天前,北京,200-250/天,5天/周,6个月,小米,Java
java开发实习生,4天前,上海,200-250/天,4天/周,6个月,爱奇艺,Java
开发实习生（北方）,4天前,北京,97-160/天,5天/周,15个月,用友金融,Java
JAVA开发实习生,4天前,南京,93-183/天,5天/周,5个月,用友金融,Java
Java开发实习生,4天前,上海,100-150/天,4天/周,7个月,易保科技,Java
Java实习,4天前,杭州,面议,3天/周,4个月,19楼,Java
Java服务器开发工程师-Campus-北京-00328,4天前,北京,100-150/天,5天/周,4个月,英雄互娱,Java
2019届实习Java开发工程师,5天前,上海,100-150/天,4天/周,11个月,华钦科技,Java
Java实习生,5天前,北京,200-250/天,4天/周,4个月,滴滴出行,Java
java实习生,5天前,北京,1-2/天,5天/周,4个月,优天下,Java
Java软件开发实习生,5天前,西安,200-280/天,4天/周,12个月,普元,软件
BS开发/Java开发工程师,5天前,北京,200-250/天,5天/周,3个月,龙寰科技,Java
Java/Web应用开发工程师,5天前,上海,220-250/天,4天/周,8个月,东方海外货柜,Java
爬虫实习工程师,6天前,广州,100-160/天,5天/周,5个月,Datastory数说故事,Java
java开发工程师实习生,6天前,北京,面议,5天/周,13个月,京东商城,软件
java开发实习生,6天前,北京,150-200/天,4天/周,4个月,云知声,Java
JAVA实习生,6天前,南京,100-150/天,5天/周,10个月,翼企云,Java
JAVA实习生,6天前,杭州,250-300/天,4天/周,10个月,亿保健康,Java
Java 开发,6天前,上海,130-150/天,5天/周,7个月,筑想,Java
实习生（信息安全/PHP/Java开发）,6天前,北京,100-120/天,3天/周,3个月,恒润科技,软件
Java开发工程师实习生,6天前,上海,200-250/天,4天/周,10个月,爱奇艺,软件
安全风控系统实习生,6天前,上海,100-200/天,4天/周,10个月,爱奇艺,Java
科技金融研发工程师,6天前,北京,150-300/天,4天/周,3个月,建信信托,Java
java 工程师,6天前,成都,80-120/天,5天/周,10个月,NCS,软件
Java软件开发客座学生,6天前,广州,50-100/天,5天/周,6个月,广州沈自所分所,Java
Java研发工程师,6天前,杭州,200-250/天,4天/周,10个月,企朋,Java
Java开发工程师（校招）,6天前,广州,120-180/天,5天/周,8个月,广州卓动,Java
Java实习生,6天前,北京,150-200/天,4天/周,4个月,悟空保,Java
Java研发工程师（实习）-福州,6天前,福州,110-170/天,5天/周,12个月,中兴软创,软件
Java开发工程师（2019年校招）,6天前,广州,100-150/天,5天/周,3个月,租租车,IT互联网
java web后端开发实习生,6天前,北京,180-199/天,5天/周,8个月,网易,软件
后端Java开发实习生,6天前,北京,100-200/天,5天/周,6个月,网易,Java
Java研发工程师实习生,7天前,北京,250-300/天,4天/周,4个月,滴滴出行,Java
Java开发实习生,7天前,北京,150-200/天,5天/周,12个月,亚信科技,Java
Java web研发工程师,7天前,济南,100-150/天,5天/周,4个月,浪潮,Java
2019校招-软件开发工程师,7天前,上海,250-300/天,3天/周,4个月,Unity,Java
Java/Python/C++/GoIang工程师-2019年毕业,1周前,北京,300-400/天,3天/周,4个月,Opera,Java
网络工程师（网络研发方向）实习,1周前,北京,2-3/天,4天/周,4个月,快手,Java
实习生-JAVA研发工程师,1周前,厦门,250-300/天,4天/周,11个月,瑞幸咖啡,Java
Java开发工程师实习生-北京,1周前,北京,250-300/天,4天/周,12个月,瑞幸咖啡,Java
Java软件开发实习生（上海）,1周前,上海,150-300/天,3天/周,4个月,交复医学,Java
实习工程师岗位（JAVA开发/数据开发/数据分析挖掘方向),1周前,广州,115-200/天,5天/周,12个月,东方国信,软件
Java软件研发实习生,1周前,北京,150-200/天,4天/周,4个月,中国电信北研院,Java
JAVA开发工程师实习生,1周前,上海,200-250/天,4天/周,7个月,阅文集团,Java
Java开发实习生,1周前,深圳,100-150/天,5天/周,4个月,金蝶软件,Java
后端实习生,1周前,北京,150-200/天,4天/周,4个月,智能一点,Java
Java工程师,1周前,上海,150-200/天,5天/周,9个月,明运科技,Java
Java开发工程师（实习生）,1周前,深圳,180-230/天,5天/周,7个月,百果园,软件
人工智能研发部Java开发,1周前,北京,150-200/天,4天/周,4个月,海尔智慧家庭北京创新中心,Java
JAVA工程师,1周前,上海,150-200/天,3天/周,4个月,Prime Research,Java
java实习,1周前,西安,1-2/天,5天/周,8个月,思特奇,Java
Java实习生,1周前,广州,80-100/天,5天/周,3个月,帝隆科技,软件
java实习生,1周前,广州,80-100/天,5天/周,3个月,帝隆科技,Java
技术开发顾问（JAVA/.NET/ANDROID/iOS等）,1周前,全国,130-150/天,5天/周,7个月,凯捷咨询,软件
Java后台研发工程师,1周前,北京,150-200/天,5天/周,6个月,首金网,Java
大数据/Java开发,1周前,重庆,100-150/天,5天/周,13个月,赛迪信息,Java
AI Lab-Java后台开发实习生,1周前,北京,180-280/天,4天/周,4个月,好未来,Java
后端工程师-小红书2019校招,1周前,武汉,面议,5天/周,4个月,小红书,Java
Java实习生（大数据平台开发）,1周前,北京,200-250/天,4天/周,4个月,滴滴出行,Java
IT软件开发java实习生,2周前,西安,100-150/天,3天/周,13个月,艮泰信息技术,Java
数据研发工程师（实习）,2周前,北京,200-300/天,4天/周,11个月,掌阅iReader,Java
java开发工程师,2周前,广州,150-200/天,4天/周,5个月,百奥,IT互联网
Java工程师,2周前,上海,200-300/天,4天/周,7个月,携程,Java
校招实习生,2周前,武汉,250-300/天,5天/周,4个月,人人网,Java
java研发工程师（2019应届生）,3周前,北京,150-200/天,5天/周,9个月,神州信息,Java
Java开发工程师,3周前,广州,面议,6天/周,7个月,F5未来商店,Java
Java / 大数据 / 人工智能 开发工程师实习生,3周前,北京,200-250/天,4天/周,6个月,增长引擎,Java
后端软件工程师(GoIang）,4周前,北京,250-300/天,5天/周,12个月,Momenta,Java
Java开发工程师（实习）,4周前,北京,100-150/天,4天/周,6个月,小米,Java
JAVA开发实习生,1月前,沈阳,100-150/天,5天/周,8个月,埃森哲,Java
Java工程师（2019应届生）,1月前,北京,面议,5天/周,5个月,北纬通信,Java
java软件实习生,1月前,北京,150-200/天,3天/周,10个月,恒润科技,Java
互联网java后端实习生,1月前,北京,100-150/天,5天/周,11个月,58到家,Java
Java开发工程师,1月前,杭州,150-250/天,4天/周,22个月,翼米网络,Java
技术研发实习生,1月前,北京,100-150/天,3天/周,7个月,首信易支付,Java
Java工程师,1月前,北京,250-400/天,5天/周,16个月,00DATA,Java
2019校招-JAVA开发工程师,1月前,"南京,上海,杭州",200-250/天,3天/周,10个月,小黑鱼科技,Java
Java开发实习生,1月前,上海,200-250/天,3天/周,9个月,携程旅行,Java
java实习生,1月前,广州,100-150/天,5天/周,13个月,知了科技,Java
Java工程师,1月前,北京,200-250/天,5天/周,9个月,绿欣集团,Java
Java实习生,1月前,北京,100-150/天,5天/周,4个月,新浪微博,Java
2019校招-后端开发工程师（Java）,1月前,北京,300-400/天,5天/周,4个月,高思集团,Java
Java工程师,2月前,"武汉,合肥,北京,长春,深圳",面议,5天/周,4个月,辰安科技,Java
开发工程师,2月前,武汉,200-250/天,5天/周,10个月,三维天地,Java
Java开发工程师,2月前,长沙,100-150/天,3天/周,10个月,海鹚科技,Java
开发工程师（JAVA /ABAP/WEB/IOS/Android）,2月前,成都,100-150/天,5天/周,11个月,博智信息,软件
JAVA开发工程师,2月前,成都,100-150/天,5天/周,13个月,易申源,算法
java开发实习生,2月前,成都,100-150/天,5天/周,13个月,婷宝实业,Java
java开发实习生,2月前,成都,100-150/天,5天/周,13个月,婷宝实业,Java
JAVA开发工程师（实习生）,2月前,成都,100-150/天,5天/周,13个月,婷宝实业,Java
软件实施工程师,2月前,"成都,武汉",200-250/天,5天/周,10个月,中电九天,Java
软件开发工程师,2月前,"成都,武汉",200-250/天,5天/周,10个月,中电九天,Java
Java开发（大数据平台方向),2月前,北京,150-200/天,4天/周,10个月,巨杉数据库,Java
Java开发（实习生）,2月前,杭州,150-200/天,5天/周,10个月,微店,Java
JAVA研发工程师（实习）-厦门,2月前,厦门,110-170/天,5天/周,11个月,中兴软创,软件
Java开发工程师（实习生）,2月前,武汉,100-150/天,5天/周,10个月,威泰科技,Java
Java开发工程师,2月前,深圳,70-101/天,5天/周,10个月,览众科技,Java
后端开发工程师,2月前,北京,400-500/天,5天/周,13个月,Momenta,Java
Java开发,2月前,北京,1-2/天,5天/周,11个月,用友金融,Java
Java开发,3月前,福州,100-150/天,4天/周,11个月,南威软件,Java
JAVA开发岗,3月前,全国,200-250/天,5天/周,3个月,思特奇,Java
研发工程师（实习）,3月前,北京,200-300/天,4天/周,17个月,炼道科技,Java
数据开发工程师,3月前,大连,100-150/天,5天/周,9个月,西山居,Java
软件开发实习生,3月前,北京,120-140/天,5天/周,12个月,用友广信,Java
java开发工程师,3月前,北京,100-150/天,5天/周,12个月,先进数通,Java
JAVA开发工程师实习生（广州）,3月前,广州,120-240/天,4天/周,11个月,中兴软创,软件
Java开发实习生,3月前,北京,180-248/天,4天/周,16个月,阿里健康,Java
（2019校招）Java开发工程师,3月前,杭州,150-200/天,5天/周,12个月,有赞,Java
软件开发实习生,3月前,西安,100-150/天,5天/周,12个月,用友广信,Java
JAVA工程师（小学业务2019校招）,3月前,北京,250-300/天,5天/周,11个月,一起作业,Java
JAVA开发工程师（运维）,4月前,北京,100-150/天,5天/周,13个月,光宇游戏,Java
java开发实习生,4月前,北京,100-150/天,4天/周,5个月,京东集团,软件
Java 开发工程师/实习生,4月前,南京,200-250/天,5天/周,12个月,青颖飞帆,Java
Java后台开发实习生,4月前,深圳,100-150/天,5天/周,6个月,小财迷,Java
java实习生-长沙,4月前,长沙,50-100/天,4天/周,12个月,思特奇,Java
java实习生-南昌,4月前,南昌,50-100/天,4天/周,11个月,思特奇,Java
JAVA开发实习生(002693),5月前,北京,120-150/天,4天/周,4个月,卓望公司,软件
JAVA实习生,5月前,深圳,100-130/天,5天/周,12个月,智扬信达,Java
Java开发实习生,5月前,上海,100-121/天,5天/周,6个月,用友医疗,Java
JAVA开发实习生,5月前,上海,150-200/天,5天/周,12个月,金蝶软件,Java
后端研发工程师,5月前,杭州,150-300/天,4天/周,4个月,群核云计算,Java
java开发实习,5月前,杭州,200-400/天,5天/周,4个月,咏创科技,软件
Java开发实习生,5月前,上海,150-300/天,3天/周,3个月,倩妙商贸,软件
JAVA开发工程师,5月前,青岛,120-180/天,5天/周,3个月,海信智能商用,其他类型
java实习生,6月前,成都,100-150/天,5天/周,15个月,盼达用车,Java
JAVA开发实习生,6月前,无锡,100-120/天,3天/周,11个月,易保科技,软件
JAVA开发,6月前,沈阳,50-75/天,5天/周,3个月,北京天元,软件
JAVA开发,6月前,长春,50-75/天,5天/周,3个月,北京天元,软件
JAVA开发,6月前,沈阳,50-75/天,5天/周,5个月,北京天元,软件
Java开发,6月前,杭州,200-201/天,4天/周,12个月,砺石信息,Java
前端开发工程师,7月前,上海,100-200/天,5天/周,3个月,智赢健康科技,Java
BJ-Java实习生 (MJ000848),7月前,北京,150-250/天,4天/周,15个月,沪江网,Java
java开发工程师,8月前,北京,100-200/天,5天/周,5个月,衡泰软件,软件
Java软件工程师,8月前,广州,50-100/天,4天/周,1个月,讯猫,软件
Java软件工程师,8月前,广州,80-150/天,5天/周,8个月,讯猫,软件
Java开发工程师,8月前,广州,80-120/天,5天/周,10个月,讯猫,软件
Java开发,8月前,广州,80-120/天,4天/周,19个月,讯猫,软件
Java实习生,8月前,北京,150-200/天,5天/周,6个月,百度,Java
java开发工程师,10月前,上海,150-200/天,5天/周,4个月,麦田映像,Java
Java 实习生,1年前,北京,150-300/天,5天/周,14个月,大象人事,软件
Java研发工程师【实习岗】,9月前,"北京,上海",200-400/天,3天/周,15个月,链家网,其他类型
