职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
Java开发实习生,5小时前,广州,100-150/天,3天/周,4个月,卓越教育,Java
JavaScript/H5编程讲师/助教,2天前,深圳,100-150/天,5天/周,4个月,酷码教育,Java
Java软件开发工程师(实习),3天前,太仓,90-100/天,5天/周,6个月,安软,Java
JAVA实习生(SH),1周前,上海,100-150/天,3天/周,4个月,UAES,Java
JAVA开发实习生,6小时前,北京,面议,4天/周,3个月,迪普科技,软件
Java软件开发实习生,5小时前,北京,面议,5天/周,13个月,天洋控股,Java
Java软件工程师_2019届,6小时前,福州,150-200/天,4天/周,4个月,亚信安全,Java
java实习生（武汉）,4小时前,武汉,100-150/天,5天/周,8个月,企家有道,Java
游戏开发工程师（H5）,2周前,北京,1-2/天,5天/周,4个月,光宇游戏,Java
java实习生,2天前,上海,100-150/天,4天/周,7个月,快钱公司,Java
JAVA开发工程师,2周前,北京,200-250/天,5天/周,8个月,北京树优,Java
微服务开发工程师,5天前,上海,150-200/天,5天/周,4个月,居然设计家,Java
java开发实习生,1周前,广州,100-150/天,4天/周,8个月,佳都科技,Java
软件开发工程师,5小时前,北京,200-250/天,5天/周,12个月,天洋控股,Java
Java开发工程师（实习）,5小时前,上海,120-150/天,4天/周,10个月,挚极信息,Java
Java软件工程师助理（19年毕业）,4分钟前,重庆,100-120/天,5天/周,12个月,中国信息通信研究院西部分院,Java
前端工程师,3周前,苏州,100-150/天,5天/周,8个月,原本图像,Java
java开发实习生,5小时前,杭州,1-50/天,5天/周,4个月,慧码科技,Java
java实习生,5小时前,北京,120-200/天,3天/周,3个月,四达时代集团,Java
JAVA开发实习生,7天前,深圳,200-250/天,5天/周,8个月,萨摩耶金融,Java
java实习生,6小时前,北京,150-200/天,5天/周,9个月,天润融通,Java
Java实习生,5小时前,杭州,100-150/天,5天/周,3个月,慧码科技,Java
Java/Js讲师,2天前,深圳,100-150/天,5天/周,3个月,酷码教育,Java
Java研发工程师实习生,2周前,北京,200-250/天,4天/周,13个月,百度,Java
